IPC,branch-instructions,branch-misses,branch-miss-rate,cache-misses,cache-miss-rate,cache-references,cycles,instructions,cpu-clock,page-faults,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,run_time,thread,size,workload,speedup
0.564,522261292.2,15735109.2,3.022,12241418.2,16.4586,74352384,4069937502,2293541608,1767.878,135968.6,1152318463,31297208.6,11904454.6,0.156,1,simsmall,blackscholes,1
0.57,522642437.8,15061663.4,2.92,12430011.2,17.0462,72929538,4100858708,2344875007,1779.012,136058.2,1177920451,31231246.2,12293052.8,0.088,2,simsmall,blackscholes,1.772727273
0.584,535687365.8,14904310.4,2.828,12453547.2,17.0954,72849503.8,4122147832,2401074837,1790.666,136096.4,1196023223,30921320.4,12397991.6,0.0546,4,simsmall,blackscholes,2.857142857
0.582,524214326.8,14801253.2,2.906,12240177.8,16.6114,73701316,3993678991,2325433677,1734.902,136085.4,1164150586,30068540,11768579.4,0.0364,8,simsmall,blackscholes,4.285714286
0.568,504016096.8,14838133.8,3.052,10657887.2,14.6108,73130875.6,4060792408,2309772302,1759.906,136089.8,1157495586,31297651.4,10259014.4,0.0278,16,simsmall,blackscholes,5.611510791
0.534,500993691,15254043.4,3.108,7023131.2,9.1376,76793941.4,4252892001,2266052059,1836.654,136213.8,1160112798,33855032.6,7175609.6,0.0296,32,simsmall,blackscholes,5.27027027
0.608,557179871.4,17125832.8,3.082,7196313.8,8.8774,81081313.2,4997443104,3042676511,2149.946,136290.6,1411318661,34306739.6,6798976.4,0.5442,1,simmedium,blackscholes,1
0.598,553510387,16618971.8,3.012,7444552.4,8.9776,82963693.2,4978994931,2980462499,2138.456,136195.8,1375282523,33592492.6,6870931.6,0.309,2,simmedium,blackscholes,1.761165049
0.632,597380860,16874623,2.854,10834489.4,13.4124,80925800.2,4877885252,3074904691,2099.11,136291,1434901383,31984407.2,10065555.6,0.1962,4,simmedium,blackscholes,2.773700306
0.642,650433345.4,16247911.8,2.542,12436318,15.7128,79154064.8,5043042078,3241575651,2177.16,136460.4,1508589510,31225657,11815179.4,0.1348,8,simmedium,blackscholes,4.037091988
0.646,628134181.2,15785565.6,2.532,12210549,15.6398,78138486.6,4968938773,3211194798,2139.724,136124.8,1483188007,30495466.8,11602913.2,0.0994,16,simmedium,blackscholes,5.474849095
0.63,662107262.6,15768167.4,2.442,11951658.4,15.2574,78368776.4,5108885599,3227141758,2222.342,136310,1516478426,30570613.8,11616369.8,0.0828,32,simmedium,blackscholes,6.572463768
0.756,1098518636,25512650,2.318,12754397,11.5292,111106588.8,9012654920,6783499923,3849.804,137372.8,2760843608,37229773.2,12353807.6,2.1598,1,simlarge,blackscholes,1
0.754,1066455537,24372516,2.298,12009218.8,10.9394,109829237.8,8839092916,6663877812,3778.348,137094.4,2727349187,36531707.8,11844986,1.2316,2,simlarge,blackscholes,1.753653784
0.75,1035533401,23972804.4,2.322,12289117.4,11.4446,107434860.2,8734723994,6548598536,3729.164,136826.8,2643659766,36811860.8,12183466.4,0.7664,4,simlarge,blackscholes,2.818110647
0.762,1017446642,21289923,2.094,12520608,11.8902,105277173.8,8567373494,6543380861,3665.28,137036.6,2653399308,32999228.4,12203397,0.4948,8,simlarge,blackscholes,4.364995958
0.772,1106407002,21338582,1.952,13637998.4,12.9372,105415233,8838988190,6819713633,3775.116,137149.2,2796899159,32439128.6,12316470.2,0.3844,16,simlarge,blackscholes,5.618626431
0.678,1002714670,20857385.6,2.078,8415292.8,7.8804,106980341.2,9665849777,6558788461,4170.464,137042.6,2661722515,35030456,7897041,0.3782,32,simlarge,blackscholes,5.710735061
0.692,617886028,15478964.6,2.606,12541998.4,14.9506,83884719.2,4837535421,3356574239,2089.518,138679.2,1500491521,31033788,12045644.6,0.431,1,simsmall,bodytrack,1
0.684,723747296.2,15053529.6,2.196,12884862.2,15.3178,84112366.8,5102982758,3495447023,2215.462,138818.2,1598140380,30528127.2,12023611,0.2554,2,simsmall,bodytrack,1.687548943
0.678,545338426,15273157.8,2.804,12394810.4,14.7816,83902256,4594699865,3112020857,1976.868,138750.2,1373113016,30459283.8,12094163,0.1678,4,simsmall,bodytrack,2.568533969
0.664,642650589.6,15264094.8,2.416,11773646.8,13.9448,84434260,4899371700,3264516302,2129.548,138895,1475261175,30846221.4,11895598,0.1262,8,simsmall,bodytrack,3.415213946
